mode,month,dtrip,dtrip_y2,expansion_factor,draw,state
fh,1,0,0,1,1,VA
pr,1,0,0,1,1,VA
sh,1,0,0,1,1,VA
fh,2,0,0,1,1,VA
pr,2,0,0,1,1,VA
sh,2,0,0,1,1,VA
fh,3,0,0,1,1,VA
pr,3,0,0,1,1,VA
sh,3,0,0,1,1,VA
fh,4,383.8524513244629,383.8524513244629,1,1,VA
pr,4,24302.40893554688,24302.40893554688,1,1,VA
sh,4,225684.556640625,225684.556640625,1,1,VA
fh,5,2859.132499694824,2769.274097442627,.96857142,1,VA
pr,5,32469.49645996094,34480.88940429688,1.0619471,1,VA
sh,5,29088.12073516846,31083.98425292969,1.0686144,1,VA
fh,6,2372.244630306959,2529.751055181026,1.0663955,1,VA
pr,6,57514.0869140625,56335.43212890625,.97950667,1,VA
sh,6,15495.14831542969,14462.13842773438,.93333334,1,VA
fh,7,4773.650299072266,4905.043395996094,1.0275247,1,VA
pr,7,51516.55163574219,47926.52984619141,.93031323,1,VA
sh,7,37284.45385742188,34416.4189453125,.92307693,1,VA
fh,8,1530.77819442749,1517.735195159912,.99147952,1,VA
pr,8,56946.35028076172,59362.82006835938,1.0424341,1,VA
sh,8,156760.0791015625,155971.4028320313,.99496889,1,VA
fh,9,1166.089324951172,1199.022445678711,1.0282423,1,VA
pr,9,27222.83374023438,26262.3415222168,.96471739,1,VA
sh,9,66990.13916015625,63130.57846069336,.94238615,1,VA
fh,10,264.9079694747925,274.0514597892761,1.0345157,1,VA
pr,10,128208.8109130859,137485.743347168,1.072358,1,VA
sh,10,284736.16015625,299368.7919921875,1.0513902,1,VA
fh,11,1845.216514587402,2182.738327026367,1.1829172,1,VA
pr,11,24001.39316940308,29266.16928863525,1.219353,1,VA
sh,11,0,0,1,1,VA
fh,12,430.6322174072266,435.5859785079956,1.0115035,1,VA
pr,12,378.338324546814,395.7853975296021,1.046115,1,VA
sh,12,10683.3115234375,8680.190612792969,.8125,1,VA
fh,1,0,0,1,2,VA
pr,1,0,0,1,2,VA
sh,1,0,0,1,2,VA
fh,2,0,0,1,2,VA
pr,2,0,0,1,2,VA
sh,2,0,0,1,2,VA
fh,3,0,0,1,2,VA
pr,3,0,0,1,2,VA
sh,3,0,0,1,2,VA
fh,4,382.586597442627,382.586597442627,1,2,VA
pr,4,38488.400390625,38488.400390625,1,2,VA
sh,4,412359.69140625,412359.69140625,1,2,VA
fh,5,2567.535423278809,2432.875576019287,.94755286,2,VA
pr,5,26142.07763671875,28009.36889648438,1.0714285,2,VA
sh,5,23191.87446975708,24807.81939697266,1.0696772,2,VA
fh,6,3929.257049560547,4020.248352050781,1.0231574,2,VA
pr,6,58927.09899902344,58283.5380859375,.9890787,2,VA
sh,6,60038.33862304688,56035.78271484375,.93333334,2,VA
fh,7,4600.519332885742,4749.043594360352,1.0322843,2,VA
pr,7,31352.62930583954,28952.23481035233,.92343879,2,VA
sh,7,42393.12664794922,40066.9690246582,.94512892,2,VA
fh,8,1722.56428527832,1676.556888580322,.97329134,2,VA
pr,8,74858.92761230469,78684.1484375,1.0510991,2,VA
sh,8,133593.837890625,143136.2548828125,1.0714285,2,VA
fh,9,857.9207191467285,868.8222332000732,1.0127069,2,VA
pr,9,57038.1865234375,54915.53259277344,.96278536,2,VA
sh,9,53883.2666015625,50387.0068359375,.9351142,2,VA
fh,10,1346.808505058289,1433.500958919525,1.0643688,2,VA
pr,10,45999.11508178711,49068.05766296387,1.0667174,2,VA
sh,10,247012.76953125,248382.962890625,1.005547,2,VA
fh,11,1769.80500125885,2143.864591598511,1.2113564,2,VA
pr,11,29195.48896789551,35644.26010131836,1.2208824,2,VA
sh,11,0,0,1,2,VA
fh,12,700.526647567749,682.9618835449219,.97492635,2,VA
pr,12,667.7341423034668,622.9787254333496,.93297422,2,VA
sh,12,15137.1484375,12298.93310546875,.8125,2,VA
fh,1,0,0,1,3,VA
pr,1,0,0,1,3,VA
sh,1,0,0,1,3,VA
fh,2,0,0,1,3,VA
pr,2,0,0,1,3,VA
sh,2,0,0,1,3,VA
fh,3,0,0,1,3,VA
pr,3,0,0,1,3,VA
sh,3,0,0,1,3,VA
fh,4,387.3843669891357,387.3843669891357,1,3,VA
pr,4,21680.39721679688,21680.39721679688,1,3,VA
sh,4,211585.125,211585.125,1,3,VA
fh,5,2922.457374572754,2807.664264678955,.96072036,3,VA
pr,5,32486.25581359863,34656.30810546875,1.066799,3,VA
sh,5,16686.17254257202,17832.77349853516,1.0687157,3,VA
fh,6,3981.54613494873,4142.409530639648,1.0404023,3,VA
pr,6,44648.48327636719,44034.20532226563,.98624194,3,VA
sh,6,28028.74328613281,26160.16040039063,.93333334,3,VA
fh,7,4951.060447692871,5141.716400146484,1.0385081,3,VA
pr,7,35094.85949707031,33007.78887939453,.9405306,3,VA
sh,7,125229.2075195313,123758.8720703125,.98825884,3,VA
fh,8,1618.424240112305,1588.898845672607,.98175669,3,VA
pr,8,59739.28674316406,61423.13623046875,1.0281867,3,VA
sh,8,188110.494140625,201546.9580078125,1.0714285,3,VA
fh,9,1171.234794616699,1126.558382034302,.96185529,3,VA
pr,9,46516.7578125,43840.28274536133,.94246215,3,VA
sh,9,44659.123046875,42366.45440673828,.94866294,3,VA
fh,10,1142.380180358887,1199.131210327148,1.0496778,3,VA
pr,10,150337.2192382813,160369.4162597656,1.0667313,3,VA
sh,10,288333.6201171875,305102.9575195313,1.0581595,3,VA
fh,11,1994.296457290649,2315.426982879639,1.1610245,3,VA
pr,11,6055.639272689819,7239.365894317627,1.1954751,3,VA
sh,11,0,0,1,3,VA
fh,12,712.3408851623535,701.1590919494629,.98430276,3,VA
pr,12,586.7050313949585,559.2237071990967,.95315987,3,VA
sh,12,3788.967529296875,3078.536117553711,.8125,3,VA
fh,1,0,0,1,4,VA
pr,1,0,0,1,4,VA
sh,1,0,0,1,4,VA
fh,2,0,0,1,4,VA
pr,2,0,0,1,4,VA
sh,2,0,0,1,4,VA
fh,3,0,0,1,4,VA
pr,3,0,0,1,4,VA
sh,3,0,0,1,4,VA
fh,4,381.260066986084,381.260066986084,1,4,VA
pr,4,13917.7529296875,13917.7529296875,1,4,VA
sh,4,319635.85546875,319635.85546875,1,4,VA
fh,5,2090.19881439209,2002.781970977783,.95817775,4,VA
pr,5,25816.86837005615,27400.61108398438,1.0613452,4,VA
sh,5,16049.97058105469,17040.25341796875,1.0617,4,VA
fh,6,1220.693678855896,1170.796768188477,.95912415,4,VA
pr,6,55121.73889160156,53949.96923828125,.97874212,4,VA
sh,6,56678.22143554688,52899.67333984375,.93333334,4,VA
fh,7,3797.351779937744,3949.880905151367,1.0401672,4,VA
pr,7,61926.87228393555,57502.18305969238,.92854977,4,VA
sh,7,79649.56689453125,76560.93212890625,.96122223,4,VA
fh,8,1879.72371673584,1862.403972625732,.99078602,4,VA
pr,8,135792.6419067383,144123.0859375,1.0613468,4,VA
sh,8,275772.6357421875,277539.0126953125,1.0064052,4,VA
fh,9,1634.91784286499,1679.466470718384,1.0272483,4,VA
pr,9,30234.09191894531,28212.87595367432,.93314779,4,VA
sh,9,11713.00732421875,11389.36906433105,.97236931,4,VA
fh,10,1310.920246124268,1394.150007247925,1.0634896,4,VA
pr,10,80747.93005371094,86566.17449951172,1.0720544,4,VA
sh,10,272942.9892578125,278460.2202148438,1.0202138,4,VA
fh,11,1975.688667297363,2323.030014038086,1.1758077,4,VA
pr,11,10762.80335235596,12752.4998626709,1.1848679,4,VA
sh,11,0,0,1,4,VA
fh,12,645.060152053833,654.0420589447021,1.0139241,4,VA
pr,12,1573.356622695923,1404.001659393311,.89236075,4,VA
sh,12,12960.6572265625,10530.53399658203,.8125,4,VA
fh,1,0,0,1,5,VA
pr,1,0,0,1,5,VA
sh,1,0,0,1,5,VA
fh,2,0,0,1,5,VA
pr,2,0,0,1,5,VA
sh,2,0,0,1,5,VA
fh,3,0,0,1,5,VA
pr,3,0,0,1,5,VA
sh,3,0,0,1,5,VA
fh,4,355.2171649932861,355.2171649932861,1,5,VA
pr,4,38556.42004394531,38556.42004394531,1,5,VA
sh,4,284349.85546875,284349.85546875,1,5,VA
fh,5,2290.721956253052,2172.694878578186,.94847602,5,VA
pr,5,39289.99510192871,41668.5283203125,1.0605379,5,VA
sh,5,20178.91845703125,21620.26977539063,1.0714285,5,VA
fh,6,4455.076675415039,4587.353332519531,1.0296912,5,VA
pr,6,59590.88012695313,59234.48291015625,.99401927,5,VA
sh,6,58955.33569335938,55024.97998046875,.93333334,5,VA
fh,7,3850.802627563477,3910.464324951172,1.0154933,5,VA
pr,7,39185.84790039063,36937.24719238281,.942617,5,VA
sh,7,69283.62451171875,70060.11474609375,1.0112075,5,VA
fh,8,1649.68244934082,1624.25634765625,.98458725,5,VA
pr,8,96250.12670898438,100531.2368164063,1.044479,5,VA
sh,8,138247.7426757813,141434.3173828125,1.0230497,5,VA
fh,9,1008.357957839966,1042.840025901794,1.0341963,5,VA
pr,9,34052.46899414063,33007.00341796875,.96929836,5,VA
sh,9,31339.28271484375,30459.38665771484,.97192353,5,VA
fh,10,1256.156349182129,1322.386245727539,1.0527242,5,VA
pr,10,62076.39428710938,65784.37829589844,1.0597326,5,VA
sh,10,313042.0717773438,332773.3220214844,1.0630307,5,VA
fh,11,2450.07540512085,2743.964820861816,1.1199511,5,VA
pr,11,8375.890914916992,10176.99270629883,1.215034,5,VA
sh,11,0,0,1,5,VA
fh,12,427.5305023193359,429.8258380889893,1.0053688,5,VA
pr,12,822.0710315704346,786.6947174072266,.95696682,5,VA
sh,12,2606.056640625,2117.421020507813,.8125,5,VA
